,,作者,题名,文献来源,年,卷,期,页码,ISSN,关键词,机构,摘要
82,C,王永谦;,高校辅导员异质型人力资本与大学生“三创”能力培育的机制研究,江苏高教,2014,No.173,1,118-119,1003-8418,高校辅导员;异质型人力资本;大学生“三创”能力;培育机制,河海大学商学院;,"文章认为,大学生""三创""(创新、创优、创业)能力的培育与辅导员异质型人力资本密切相关,两者可以借助于常规培养与特殊培育相结合、系统整合和科学管理相结合的方法得以落实;通过建立目标责任机制、整合协调机制、保障激励机制以构建二者的内生性组织协同模式。"
83,C,马玉海;夏小华;张月;,分类管理推进青年辅导员专业化发展——以高校主体为视角,中国青年研究,2014,No.216,2,112-115+119,1002-9931,辅导员;专业化;分类管理,阜阳师范学院思想政治理论课教学部;,"近年来,随着青年辅导员数量的增加,青年辅导员队伍面临着一系列发展的选择和困惑,迫切要求进行专业化建设。但因高校的历史原因和现实情况,辅导员队伍的专业化建设推进不足,并出现了国家层面的高标准推进和学校层面的低标准运行的不匹配状况。文章以高校主体为视角,试图探究对辅导员进行分类管理的可行性,并对分类管理的体系进行构建,促进辅导员队伍的专业化建设。"
84,C,王璐璐;,新时期高校辅导员职业价值观研究,中国青年研究,2014,No.217,3,99-101,1002-9931,高校;辅导员;核心价值观,山东大学外国语学院学工办;,"本文研究了高校辅导员职业价值观的特点,并对如何构建辅导员的职业价值观进行了有益的探索。""80后""辅导员服务引领""90后""大学生群体,他们之间有着许多共性的价值观认知与困惑。辅导员职业价值观的塑造可以借鉴大学生核心价值观的构建。强化辅导员职业价值观的内涵属性,凝练辅导员的职业价值观,对于实现辅导员队伍职业化、专家化建设具有重要作用。"
85,C,刘丰林;,高校辅导员情商培养和领导力提升的探索与思考,湖北社会科学,2014,No.330,6,163-166,1003-8477,辅导员;情商;领导力;培养与提升,武汉轻工大学;,"高校辅导员领导力的本质就是影响力,这种影响力除组织权力的外在要素外,更多是来自辅导员自身的情商特质。辅导员情商特质包括辅导员的自我情绪控制力、自我激励力、人际感知力、人际沟通力和协调力等诸多方面。随着以人为本的管理、服务理念日益深入人心,高度重视辅导员的情商培养已成为提升其领导力的重要途径。"
86,C,朱锦秀;刘艳坤;,新时期大学生对辅导员的角色需求探析,思想理论教育导刊,2014,No.185,5,136-138,1009-2528,大学生;需求;辅导员;角色定位,重庆师范大学美术学院;,"思想政治教育的目标、要求与大学生对辅导员的角色需求有机统一,是做好大学生思想政治教育的关键。辅导员作为高校开展大学生思想政治教育的骨干力量,必须明确工作对象对自身的需求与期望。根据大学生对辅导员角色需求的调查结果显示,""90后""大学生对辅导员角色需求呈现出高期望、务实化、差异化、局限化等特点,基于此特点,辅导员应该走专家化的发展道路,其工作应突出层次性和针对性,更应对突破大学生需求的认识局限性,积极发挥导向作用。"
87,C,鲁凤;,关于辅导员参与思想政治理论课讨论式教学的思考,江淮论坛,2014,No.265,3,190-192+109,1001-862X,辅导员;思想政治理论课;讨论式教学;培训机制;考核机制;运作机制,华东政法大学经济法学院;,"辅导员参与思想政治理论课讨论式教学有利于整合两支队伍的力量,形成思想政治教育合力;有利于拓展辅导员的发展空间,提升职业化和专业化水平;有利于理论与实践互动,提高思想政治教育的实效性。在实际操作过程中,存在着诸如时间上的冲突、效果上的差距、管理上的脱离等困难和问题。建立严格的准入机制、有效的培训机制、科学的考核机制和系统的运作机制,是加强和改进辅导员参与讨论式教学效果的重要举措。"
88,C,杜玉波;,深入学习贯彻习近平总书记“五四”重要讲话精神 努力提高高校辅导员队伍建设科学化水平,思想教育研究,2014,No.237,6,3月5日,1002-5707,理论蕴涵;科学化水平;五四精神;学习态度;辅导员培训;思想政治教育;职业化建设;研修基地;道德实践活动;立德树人;,教育部党组;,"2014年五四青年节,习近平总书记专程到北京大学考察、看望师生,并发表重要讲话。总书记深刻阐释了五四精神的历史贡献及现实意义,精辟论述了社会主义核心价值观的理论蕴涵和核心要素,并对广大青年师生培育和践行社会主义核心价值观提出了4点殷切希望。5月4日下午,刘延东副总理接见了2014年大学生年度人物和高校辅导员年度人物,并在座谈会上发表了重要讲话,希望广大青年将个人梦想与国家梦想结合起"
89,C,张效英;李永山;张勇;,高校辅导员专业技能标准的咨询与调查分析,国家教育行政学院学报,2014,No.199,7,13-18,1672-4038,高校辅导员;专业标准;调查分析,合肥工业大学;,"本课题依据高校学生工作的职能分工,将演绎法和限定选项法相结合,整理出高校辅导员专业技能的8项范畴和48个指标。通过对全国111名专家和751名辅导员的调查发现,该指标体系得到调查对象的高度认可,只是在辅导员是否需要具备从事形势政策、就业指导等课程教学技能以及心理辅导技能等局部内容上还存在一定程度的争议。"
90,C,房玲;,近三十多年来高校辅导员队伍建设研究概况,江苏高教,2014,No.177,5,44-46,1003-8418,高校辅导员;辅导员队伍建设;研究展望,上海海事大学商船学院;,"改革开放三十多年来,我国高校辅导员队伍建设方面的研究取得了丰富的研究成果,研究热点主要集中在高校辅导员队伍建设的历史嬗变、建设过程中存在的问题及分析以及如何实现辅导员队伍建设的路径分析等方面。文章简略回顾了以往关于高校辅导员队伍建设的研究,进一步探讨了该领域研究存在的主要问题以及今后的发展方向。"
91,C,神彦飞;赵健;,职业化高校辅导员的心理特质论析,思想理论教育导刊,2014,No.188,8,135-139,1009-2528,职业化;辅导员;心理;职业发展,山东大学辅导员工作研究会与培训基地;武汉大学马克思主义学院;,"在高校辅导员的入职选拔中,需要把符合职业化发展方向的心理特质作为选拔时的重要参考因素。从职业路径的定位来看,职业化辅导员是辅导员职业选择的路径之一。从组织需求角度分析,职业化辅导员必须具备的是""社会型—事务型—研究型""的综合型职业心理特征。从辅导员个人的职业需求出发,职业化辅导员的心理特质为倾向于事务工作的偏内向从业者,对工作本身较认同和看重,可以终身学习,对薪酬期望较低。职业化辅导员的主要职业动力是专业化的发展期待和价值认同。"
92,C,匡延昌;张旭辉;,新疆高校辅导员队伍专家化建设浅析——以新疆农业大学为例,新疆大学学报(哲学·人文社会科学版),2014,v.42;No.174,4,27-30,1000-2820,高校辅导员;专家化;队伍建设;新疆,新疆农业大学学生处;,"辅导员专家化建设是加强和改进大学生思想政治工作的重中之重。文章从辅导员专家化的基本特征、必要性及可行性出发,对新疆高校辅导员专家化建设既往基础、基本做法进行全面的梳理,并提出了专家化辅导员队伍建设的准入、培训、培养、职业边界、职业愿景等相关对策措施。"
93,C,王燕芳;邓志宏;,多元思潮视阈下高校辅导员与大学生关系的双向解读,高教探索,2014,No.139,5,168-172,1673-9760,多元思潮;辅导员;大学生;关系,中山大学哲学系党总支;中山大学哲学系;中山大学哲学系团委;,"新媒体时代,在多元思潮的渗透影响下,大学生呈现无群体主张性、碎片化接受性、泛娱乐自嘲性的特点。辅导员与大学生构建密切和谐的师生关系,是有效做好大学生思想引领的前提。就大学生与辅导员的关系而言,普遍存在以自我为中心的被动关注、泛功利化的主动联系和基于情感基础的伪执行性;本文从与学生心理亲疏的崭新视角,解读辅导员与大学生存在隔膜关系、圈子关系和共友关系三个层次,这三种关系层层递进,共友关系是辅导员和学生群体相互关系的理想状态,也是富有成效地开展思想教育的基础。"
94,C,程利;,统一标准 加强高校辅导员队伍建设,中国高等教育,2014,No.527,Z3,54-55+61,1002-4417,辅导员专业化;职业化建设;思想政治教育;能力标准;思想信念;辅导员岗位;日常教育;优秀辅导员;工作职责;职业化发展;,南京财经大学会计学院;,"随着我国高等教育事业的不断发展,辅导员在高校管理中的作用不断突出,地位日益重要,只有建设一支专业化职业化的辅导员队伍才能适应我国高等教育的发展,才能在高校的学生培养中起到更积极的作用。2014年3月,教育部印发《高校辅导员职业能力标准(暂行)》(下文"
95,C,李华;,高等学校辅导员的双重角色困境与协调路径——基于高等学校辅导员双重职责分析,四川师范大学学报(社会科学版),2014,v.41;No.207,6,71-77,1000-5315,高等学校;辅导员;角色困境;思想政治教育;学生事务管理,四川师范大学物理与电子工程学院;,"高等学校辅导员,既是学生思想政治教育的教育者,又是学生事务的管理者,肩负教育与管理的双重职责。然而,教育与管理是两类不同甚至背立的人类社会实践活动,正是其不同甚至背立导致了高等学校辅导员出现双重角色困境甚至职能错混。从教育和管理的本质联系与区别出发,分析高等学校辅导员角色困境的现实表现和根本原因,从而进一步建立解决辅导员角色困境的有效机制,以保障高等学校辅导员学生工作的针对性与实效性。"
96,C,侍旭;,艺术类高校辅导员与学生新型关系构建——基于马丁·布伯对话哲学的视角,艺术百家,2015,v.31;No.142,1,222-223,1003-9104,高等艺术教育;对话;艺术类高校;辅导员;学生;师生关系;价值诉求,南京航空航天大学团委;,"辅导员与学生的关系是一种师生关系,艺术类高校辅导员与学生的关系是基于专业因素下的一种特定存在。马丁·布伯的""我—你对话关系""、""关系的本体性""、""之间""的领域和""在场""的""相遇""等对话哲学思想为构建艺术类高校辅导员和学生关系提供了新的视野。对话提供了关照艺术类高校师生关系的另一种视角,是构建艺术类高校辅导员与学生关系的价值诉求。"
97,C,李永山;,高校辅导员工作的核心能力及其培养,思想教育研究,2015,No.246,1,82-85,1002-5707,高校辅导员;核心能力;培养策略,合肥工业大学人文与素质教育中心;,"高校辅导员工作的核心能力源于其职业身份与工作职责的基本要求,以及职业角色的社会期待,具有职业性、专业性,以及可观察、可衡量和可培养的特性。当前高校辅导员应具有9项核心能力,分别是思想教育与政治引导能力,教育活动的设计、实施与指导能力,学生学习与发展的深度辅导能力,法律、政策和制度的宣传、解释和贯彻执行的能力,危机事件的预防、识别与应对处理能力,人际沟通、交流和说服的能力,组织、管理和领导的能力,教育教学与科学研究的能力,遵守职业伦理规范的能力。加强辅导员核心能力的培养,应注重优化专业人才培养方案,加强和改进在职培训,发挥职业能力大赛的示范引领功能,采取有效的专业发展策略。"
98,C,赵宏;,基于博弈论视角的地方高校辅导员专业化政策执行困境及化解,学术论坛,2015,v.38;No.288,1,166-170,1004-4434,辅导员专业化;制度;政策执行;个体理性;集体理性,安徽工程大学建筑工程学院;,"""推进困难""是地方高校辅导员专业化政策执行的瓶颈。博弈论视野下辅导员专业化政策执行存在着政府、高校、辅导员等多个利益相关者,不同利益者的权衡与选择,造成推进困境。化解困境,必须要加快制度完善与机制创新,规范和引导博弈各方的利益关系;强化管理者的理性认识,寻求专业化政策的价值认同;强化激励措施,化解个体理性与集体理性之间的冲突。"
99,C,崔益虎;,专家化是我国高校辅导员队伍建设的必由之路,江苏高教,2015,No.180,2,99-101,1003-8418,高校辅导员;队伍建设;专家化,南京工业大学校办;,"高校辅导员作为""高校学生工作""的具体承担者,承担着培养中国特色社会主义事业建设者和接班人的历史使命。虽然我国的高等教育相对于发达国家起步较晚,但发展迅速,辅导员队伍在改革开放以后经历了快速发展壮大的过程,逐步形成了职业化、专业化的特色,同时也存在一些亟需解决的问题。发达国家特别是美国在高校学生事务管理及其队伍建设中逐步形成了线性化的运行机制、规范化的管理模式和职业化的人员构成,具有一定的借鉴意义。文章认为,职业化定位是辅导员队伍建设的基础所在,专业化发展是辅导员队伍建设的发展主流,专家化方向是辅导员队伍建设的必然趋势。"
100,C,王飞;,高校辅导员践行柔性管理模式初探,江苏高教,2015,No.180,2,102-104,1003-8418,高校;辅导员;柔性管理,江苏大学管理学院;,"实施柔性管理是高校学生工作践行以生为本教育思想的具体体现,是辅导员""应然""的工作模式。柔性管理就需要根据高校学生管理工作情境,坚持马克思主义理论的引领与指导,从""人之多样性""、""人之能动性""、""人之差异性""、""人之需要性""等维度对其丰富和发展,建构大学生柔性管理理论体系,并通过指导大学生开展职业生涯规划、发挥学生自组织功能、提升自我管理智慧等具体路径落实。"
101,C,陈绍辉;,高校辅导员对大学生“三观”形成的影响因素研究,思想理论教育导刊,2015,No.194,2,131-133,1009-2528,高校辅导员;大学生;世界观;人生观;价值观;影响因素,首都师范大学政法学院;,"当代青年大学生群体正逐步成长为中国特色社会主义事业的核心建设者,大学生是否具有符合时代、国家和民族要求的世界观、人生观、价值观,关系到国家的发展,民族的复兴,伟大""中国梦""的顺利实现。高校辅导员,是与大学生在高等教育阶段接触最多的群体,重视辅导员对大学生""三观""引领的重要作用,提升辅导员的理论素质,坚定政治立场,强化人文积淀,对大学生成长成才将产生重要的影响。"
102,C,虞晓东;李建伟;王志华;,基于多源评价的高校优秀辅导员标准研究,国家教育行政学院学报,2015,No.206,2,71-76,1672-4038,优秀辅导员;评价标准;多源评价;扎根研究,浙江工商大学;曲阜师范大学;,"优秀辅导员队伍的建立从根本上关系到高校优秀人才的培养质量。本研究将初期研究中的2类评价源扩展到18类,调研总人数达4063名。研究发现:优秀辅导员的评价标准共有10个结构,其中国际视野、个性魅力、心理素质成为新时期的最新标准;不同的评价主体,尤其是学生、学生家长、社会等与辅导员自身、学工干部的优秀标准存在显著的认知差异;以知识结构为核心的评价标准成为新时期优秀辅导员的专业化发展诉求;十大标准聚焦优秀辅导员的认知与期待两个层面,对其进行科学的整合并使之体系化有利于选聘、考核和培育优秀辅导员,助推辅导员队伍的专业化进程。"
103,C,李发武;,高校辅导员队伍的特性及发展,高教探索,2015,No.143,3,126-128,1673-9760,辅导员队伍;纵横比较;特性;问题;发展利导,岭南师范学院规划与法规处;,"高校辅导员队伍作为高校一支独特的工作队伍,在我国高等教育进入大众化阶段,其建设发展面临着新的挑战。本文通过对辅导员队伍进行纵横对比,分析其自身优势和现存问题,并以此提出促进其健康发展的有利途径。"
104,C,吴志龙;,大数据时代下高校辅导员预警能力研究,国家教育行政学院学报,2015,No.208,4,62-66,1672-4038,大数据;高校;辅导员,东南大学;,"大数据时代下提升高校辅导员预警能力对于应对高校突发事件至关重要。目前高校辅导员存在预警意识不强、信息掌握渠道单一以及预警工作与其他工作渗透结合不够的问题。高校要帮助辅导员提高信息意识,提升研判能力,加强网络舆情监测,善用学校大数据以及把握好重要关键点。同时,高校应通过提供专业研判支持、畅通大数据使用以及加强培训教育等方面的措施,来保障辅导员预警能力得以充分发挥。"
105,C,李琳;,高校辅导员职业能力内涵与提升路径探析,思想教育研究,2015,No.248,3,105-107,1002-5707,高校辅导员;职业能力;思想政治教育,中国矿业大学计算机学院;,"辅导员队伍获得社会认同和支持的本质性因素在于辅导员自身素质和能力的提升。辅导员要在思想政治素质、道德品质素质、职业情感素质、业务能力素质和媒介素养素质方面,深化和完善自身内涵发展和外延发展。辅导员要在科学规划个人职业生涯、储备宽口径科学知识、合理运用需求动力、显隐结合提升工作科学化水平四个方面不断提升职业能力。"
106,C,马英;洪晓楠;,高校辅导员职业价值观的实证研究,大连理工大学学报(社会科学版),2015,v.36;No.144,2,126-131,1008-407X,辅导员;职业价值观;量表,大连理工大学人文与社会科学学部;大连医科大学学生处;,"在文献回顾的基础上,界定了高校辅导员职业价值观的概念,通过深度访谈形成这一概念的构成维度,以1000位辽宁、吉林、湖北、河南、云南、广东等省的高校辅导员为样本,通过问卷调查建立高校辅导员职业价值观量表,并利用t检验、方差分析等统计方法分析了目前我国高校辅导员价值观的现状。研究发现:高校辅导员职业价值观共有社会认可度、成就感、物质报酬、智力刺激(创新性)、人际关系、利他主义(奉献性)、安全感等7个维度,量表具有较好的信度和效度;在辅导员性别、婚姻状态、年龄、工作年限、学历构成等方面职业价值观差异显著。"
107,C,刘琦;吴长锦;,高校辅导员职业素质结构优化探析,湖北社会科学,2015,No.341,5,160-163,1003-8477,高校辅导员;职业素质;结构;优化,华中师范大学;,"高校辅导员的职业素质是一个由思想品德素质、文化知识素质、业务能力素质和身体心理素质构成的""四维""立体系统结构。在新形势下,提升高校辅导员的职业素质,并不断优化其素质结构具有重要意义。为此,高校要不断加强师德建设,建设学习型辅导员组织,完善辅导员岗位培训,不断优化升级辅导员的职业素质结构。"
108,C,于友成;,最近发展区:高校辅导员职业成长机制研究,江苏高教,2015,No.182,4,80-83,1003-8418,最近发展区;辅导员;职业成长,浙江传媒学院设计艺术学院;,"辅导员实现职业成长是辅导员队伍建设专业化职业化的基础。最近发展区理论为辅导员职业成长提供了全新的视角。从辅导员职业发展的阶段性出发,探寻辅导员职业成长的最近发展区。构建学习共同体促进辅导员职业能力提升;发挥""支架""的传递、支撑、选拔功能,促使辅导员职业环境的改善;建立动态评价体系推动辅导员形成可持续发展,从而顺利实现辅导员的职业成长。"
109,C,夏晓虹;李轶璇;田丹丹;,高校辅导员专业素养扫描及其发展路径探析,思想理论教育导刊,2015,No.198,6,125-127,1009-2528,高校辅导员;专业素养;发展路径,山东大学办公室;北京师范大学哲学与社会学学院;,"提升高校辅导员的专业素养,是高校辅导员队伍专业化、职业化发展的必然要求。目前,我国高校辅导员队伍整体素质较高,但仍存在一些问题需要进一步改善。广大高校辅导员应该坚定职业自信,拓展发展路径,提升专业素养,积极参加专业培训、科学研究、行业活动。"
110,C,高岩;吴耀武;,高校辅导员工作压力分析及其调适——基于陕西省高校样本的实证研究,湖北社会科学,2015,No.344,8,165-169,1003-8477,辅导员;工作压力;调查研究,西安外国语大学;,"高校辅导员是大学生思想政治工作的主要力量,对于大学生的健康成长起着重要的作用,他们的身心健康关系着高等教育和高校的发展。调查结果显示,尽管不同性别、年龄、婚姻、工龄和学校类别的教师在工作压力上有所差异,但高校辅导员普遍存在着较大的工作压力,因此,高校和社会应该予以重视,可通过提升抗压能力、针对群体引导、建立帮助机构和建设组织文化等途径以维护高校辅导员的心理健康。"
111,C,张莉;鲁萍;杜涛;,高校辅导员职业能力提升与专业化发展研究,思想理论教育导刊,2015,No.200,8,130-132,1009-2528,辅导员;职业能力;专业化;提升;发展,对外经济贸易大学学生工作部;对外经济贸易大学后勤管理处;,"辅导员是开展大学生思想政治教育的骨干力量,辅导员的职业能力提升与专业化发展是当前对高校辅导员队伍建设提出的重要要求,对提升学生工作质量,加强辅导员职业认同,优化辅导员职业路径具有关键作用。当前,部分高校存在辅导员角色定位不明、良性竞争平台较缺乏,辅导员培养机制和行业体制待健全等问题。高校应通过科学定义辅导员角色,完善专业化发展制度;加强专业化培养建设,保障辅导员职业发展;完善行业体制,激发行业活力,不断提高辅导员队伍的整体素质和工作水平,进而加强辅导员自身职业能力和专业化发展,提高育人工作水平。"
112,C,金文斌;邹斌;,整体性视域下高校辅导员专业化发展,中国高等教育,2015,No.547,Z2,68-70,1002-4417,辅导员专业化;思想政治教育;队伍专业化;日常教育管理;纪律意识;本源性;辅导员职责;辅导员制度;语言文字能力;路径探索;,安庆师范学院政治学院;,"辅导员专业化是国家、社会、高校关注的话题,关系到大学生思想政治教育的有效性。厘清辅导员""是什么、为什么、干什么、学什么""的本源性问题,有助于明确辅导员科学发展的方向。辅导员专业化发展需考虑支持体系、培训体系和标准体系的相互关系,三者统一于专业化发展的整体范畴。"
113,C,张向红;,组织结构视域下高校辅导员核心竞争力弱化及其对策,江苏高教,2015,No.183,5,92-94,1003-8418,高校;辅导员;组织结构;核心竞争力,马鞍山职业技术学院经济贸易系;,"我国高校辅导员治理结构中,战略高层专业化顶层设计缺失,中间线结构专业化导向弱化,技术结构职能单向化,支持结构角色错位,是导致辅导员核心竞争力弱化的重要原因。高校提升辅导员核心竞争力就应从上述方面入手,推动辅导员治理结构的优化,进而提高学生德育工作管理成效。"
114,C,于成文;,基于职业自觉视角浅谈高校辅导员工作,思想理论教育导刊,2015,No.201,9,126-129,1009-2528,高校辅导员;职业自觉;职业认同,北京科技大学学生工作部;,"高校辅导员是开展大学生思想政治工作的骨干力量。职业自觉是辅导员应该坚持的职业素质和品质。面对新的形势和要求,辅导员应该进一步增强历史责任感和使命感,努力强化职业自觉,回归育人本质,注重创新,出色践行岗位职责,切实提高育人实效。"
115,C,孙正林;,辅导员职能定位重构与大学人文精神培育,国家教育行政学院学报,2015,No.215,11,10月13日,1672-4038,辅导员;教育力;人文精神,东北林业大学;,"人文精神培育是大学教育应有之义。受社会文化结构转型、科技理性过度膨胀、传统人文价值理念断裂、数字化生活模式普及等因素制约,大学人文精神培育陷入困境,引发大学生一系列问题。辅导员教育力的优势契合了人文精神培育的需求,从而使辅导员成为人文精神培育的重要力量。加强辅导员队伍建设,提升辅导员教育力,成为大学人文精神培育的必要之选。"
116,C,单德伟;强飙;,再论高校辅导员职业化、专业化的实现路径,江苏高教,2015,No.184,6,141-143,1003-8418,高校辅导员;职业化;专业化;路径,南京审计学院泽园书院;南京审计学院学务委员会;,"辅导员职业化、专业化是高校人才培养和辅导员个人自身发展的统一,也是辅导员专家化培养的基本要求,对当下辅导员职业存在的合法性、管理的合理性和工作运行的效能都有重要意义。目前,辅导员职业化、专业化发展仍面临职业认同、工作领域、发展路径、职称晋升等一系列困境,需要从制度设计、管理体制、运行机制三层路径同时推进。"
117,C,曲建武;吴云志;,发挥辅导员在高校哲学社会科学课程教学中的育人作用,东北师大学报(哲学社会科学版),2015,No.278,6,228-231,1001-6201,辅导员;哲学社会科学;课程教学,大连海事大学马克思主义学院;,"辅导员是高等学校教师队伍和管理队伍的重要组成部分,具有教师和干部的双重身份。因此,辅导员不仅要重视大学生日常思想政治教育和管理工作,而且要通过课堂教学对大学生进行哲学社会科学教育。笔者从辅导员在高校哲学社会科学课程教学中发挥育人作用的现状入手,对辅导员承担高校哲学社会科学课程教学的可能性、必要性和具体措施进行了较为系统的阐述。"
118,C,蒋福玲;肖维;,徐特立“双师”教育思想与高校辅导员团队建设的方向,大学教育科学,2015,No.154,6,90-93,1672-0717,徐特立;“双师”教育思想;辅导员团队;建设方向,长沙师范学院音乐舞蹈系;,"徐特立先生""经师人师合二为一""的""双师""教育思想可以为高校辅导员团队建设提供重要的发展方向,有效增强大学生思想政治教育工作的实效。以徐特立的""双师""教育思想为指导,开展""经师+人师""型辅导员团队建设,具体包括:其一,打造团队精神和团队文化,拓宽团队成员的学习培训和实践成长渠道,提高团队成员自身的思想政治素质和学生德育工作能力等""人师""水平,提高团队成员的专业知识涵养、学生管理能力和科学研究能力等""经师""水平,培育德才兼备的""双师""型辅导员;其二,将""双师""教育思想落实到每个辅导员的日常工作当中,创新学生思想政治教育工作平台,面向学生开展个性化特色辅导和主题教育活动,引导学生将专业学习和德育实践结合起来,提高大学生的专业能力和德育水平,培养德艺双馨的大学生。"
119,C,朱新华;,手机媒体时代辅导员话语范式的转换,思想理论教育导刊,2015,No.204,12,127-129,1009-2528,手机媒体;辅导员;话语范式;转换,安庆师范学院政法学院;,"随着手机媒体信息传播的快速发展和语境的变迁,手机媒体的无屏障性、交互性、开放性和自主性等特点对辅导员话语范式产生了挑战。必然要求通过创新,从辅导员话语体系、话语交往原则、话语方式和话语形式等方面重构辅导员话语新范式,重新定位辅导员话语的价值诉求。"
120,C,薛俊义;,社会领域分化与职业分工——高校辅导员职业道德形成的社会根源,湖北社会科学,2015,No.348,12,152-157,1003-8477,辅导员;社会分工;职业道德;专业化,盐城工学院党委人武部;,"高校辅导员群体是教育专业化体系的重要组成部分,在高校学生工作管理系统中发挥重要的作用,高校辅导员职能的发挥离不开良好的职业道德支撑。涂尔干的社会劳动分工理论分析了职业团体和职业道德形成的社会原因,其中的一些论断有助于理解高校辅导员职业道德形成的社会根源。特别是在当前社会政治经济大环境和高校""生态场域""的现实局面中,考察高校辅导员的职业道德形成与发展问题具有重要的现实意义。"
121,C,刘世勇;李姣艳;王林清;,高校辅导员职业认同现状研究,湖北社会科学,2016,No.349,1,178-181,1003-8477,高校辅导员;职业认同;现状;差异分析;提升,中国地质大学;,"高校辅导员职业认同是辅导员队伍职业化专家化建设的基础。通过问卷调查法和统计分析法,对高校辅导员职业认同的现状进行了调查和分析,得出高校辅导员职业认同总体水平较高,在人口学变量上,职业认同都有差异但不显著,仅在职业认同的某些维度有显著差异的结论。随着高校辅导员职业认同的不断提升,高校辅导员必然会走上职业化专家化发展道路。"
122,,杨建义;,高校辅导员身份定位与建构,思想教育研究,2011,No.190,1,83-87,1002-5707,高校辅导员;身份认同;建构,福建师范大学学生工作部;,"科学确定辅导员职业定位不仅关系到辅导员自身成长发展,而且关系整个辅导员队伍专业化、职业化建设。要着力寻找辅导员身份定位与建构的教育根基,着眼于辅导员岗位的学术培育、职业建设和专业发展,突破辅导员身份认同的困惑和冲突,为辅导员的专业化、职业化建设提供良好的学理支持。"
123,,曲长海;,试析高校辅导员专业化建设的自我实现,黑龙江高教研究,2011,No.201,1,86-87,1003-2614,高校辅导员;专业化;自我实现,黑龙江科技学院电气与信息工程学院;,"高校辅导员是高校学生日常思想政治教育和管理工作的组织者、实施者和指导者,其专业化水平直接关系到大学生思想政治工作的实效性。文章从高校辅导员自身实际出发,提出了自我实现专业化的对策与建议,以期为高校辅导员实现专业化提供参考。"
124,,韩才义;巨能攀;,浅析高校辅导员专业化发展的取向和理念,教育探索,2011,No.235,1,115-116,1002-0845,高校辅导员专业化;发展取向;教育理念,成都理工大学环境与土木工程学院;,"教师专业化已成为世界教育改革的发展趋势,确立专业化发展取向是辅导员队伍建设的重要内容。在关注专业化发展取向的同时,应从不同的层面上建构先进的教育理念,以先进的教育理念为引领,优化高校辅导员的专业结构和专业素养,实现教师学生的共同成长。"
125,,吴刚;,宽泛与局限:高校辅导员发展之困惑,黑龙江高教研究,2011,No.203,3,77-79,1003-2614,辅导员队伍;职业化宽泛;专业化局限;政策建议,广东金融学院;,"职业化宽泛与专业化局限对高校辅导员的发展产生直接影响。因此,进一步理顺职业化与专业化的辩证关系,弄清它们交互关系与影响脉络,给出相应的政策建议,期望对辅导员队伍建设起到积极作用。"
126,,邹积英;徐润生;关丽;,高校辅导员队伍建设的理性思考,教育探索,2011,No.236,2,112-113,1002-0845,辅导员;队伍建设;理性思考,大连工业大学;,"辅导员作为大学生健康成长的指导者和引路人,其地位和作用已越来越凸显了出来,但目前辅导员队伍建设还处在需要进一步探索的阶段,还存在一些亟待解决的问题。进一步加强辅导员队伍建设,必须明确辅导员的角色定位,严格辅导员队伍的准入制度,规范辅导员的培训办法,建立对辅导员的评价体系,完善对辅导员的激励机制。"
127,,刘世勇;陈莎;,高校辅导员胜任力模型的构建与检验,湖北社会科学,2011,No.291,3,168-170,1003-8477,高校辅导员;胜任力模型;构建;检验,中国地质大学应用心理学研究所;,"研究高校辅导员胜任力的构成,对促进高校辅导员的职业化、专业化和专家化发展及高校学生工作的科学化、规范化和制度化建设具有非常重要的意义。本研究基于访谈法、问卷调查法和统计法,构建并检验了高校辅导员胜任力模型。得出高校胜任力模型由认知特征、服务特征、影响特征、专业知识、个性特征、专业技能、成就特征、培养学生共8个因素构成。验证性因素分析结果显示模型拟合良好。问卷的项目区分度、信度和效度达到了统计学要求的较好水平。"
128,,李斌;,胜任力模型与地方高校辅导员人力资源管理研究,湖南社会科学,2011,No.143,1,145-147,1009-5675,胜任力模型;地方高校;辅导员;人力资源管理,湖南城市学院团委;,"胜任力模型是目前人力资源管理理论中最先进的模型之一,是涉及岗位描述、人才选拔、工作评价、培训、薪酬等多个方面的基础性关键模型。研究地方高校辅导员的胜任力模型,关系到地方高校辅导员的选聘标准、职责、培训体系、考核机制等各个方面,因而具有重要的理论意义和现实指导意义。"
129,,,重视高校辅导员队伍建设 加强和改进大学生思想政治教育工作,思想教育研究,2011,No.192,3,8月9日,1002-5707,思想政治教育;校党委书记;辅导员岗位;专职辅导员;优秀辅导员;辅导员管理;学生工作;全国会议;整体精神面貌;发展规划;,黑龙江省教育厅学生处;,"一、高度重视辅导员队伍建设,认真贯彻落实全国工作会议精神和教育部24号令黑龙江省高度重视辅导员队伍建设,认真学习领会全国会议精神,认真抓好24号令的贯彻落实工作。成立了全省高校辅导员队伍建设领导小组,研究起草辅导员队伍建设实施意见和发展规划。召开了全省高校党委书记、校长会议,提出把辅导员队伍建设工作作为高校""一把手""工程,党"
