作者,题名,文献来源,年,期,页码,关键词,机构
刘仁营;,走出生产力拜物教——生产力决定论反思,探索,2008,1,148-153,拜物教;生产力;决定;反思,江西师范大学政法学院 南昌330022
石培玲;,民族意识与多民族国家的社会和谐,贵州民族研究,2008,1,7月12日,民族意识;民族群体利益;国家认同;和谐社会,陕西师范大学政治经济学院 陕西西安710062
严兴文;,社会主义核心价值体系引领社会思潮解读,学习与探索,2008,1,67-69,社会主义核心价值体系;社会思潮;马克思主义;社会主义和谐社会,韶关学院社会科学系 广东韶关512005
廖铭德;,齐、梁朝藏书文化评析,古籍整理研究学刊,2008,1,40-45,齐、梁朝;藏书文化;人文精神;评析,"韶关学院图书馆,"
李翔;,1897～1927年“国民革命”概念演变考释,云南社会科学,2008,2,140-144,革命;国民革命;阶级革命;国民党;共产党,南京大学历史系 江苏南京210093
周中之;,社会主义核心价值体系教育研究,思想教育研究,2008,3,13-16,社会主义;核心价值体系;教育;马克思主义大众化;尊重差异;道德榜样,上海师范大学思想政治教育研究所 所长 法政学院教授博士生导师上海200034
韦冬雪;,论思想政治教育外化过程的内涵及其实现条件,学术论坛,2008,2,189-192,思想政治教育;外化过程;内涵;条件,"广西师范大学政治与行政学院,"
郭家宏;李雁;,第一次世界大战期间英国士兵分居补贴制度研究,史学月刊,2008,4,79-84,士兵分居补贴制度;士兵与水手家庭协会;英国政府,"北京师范大学历史学院,北京师范大学历史学院 北京100875 历史学博士 副教授,北京100875 硕士研究生"
王勇桂;邱斌;,论构建社会主义和谐社会进程中的主流意识形态建设,马克思主义研究,2008,1,116-120,和谐社会;主流意识形态;马克思主义;中国特色社会主义,"南京师范大学马克思主义研究院,南京师范大学马克思主义研究院,"
次仁多吉;,推动社会主义文化大发展大繁荣的三种途径和两个规范,科学社会主义,2008,2,85-87,十七大;社会主义文化建设;途径;规范,西藏自治区委党校马列教研部 讲师(拉萨850000)
吴灿新;,论推动文化大发展大繁荣的时代意义,岭南学刊,2008,2,81-84,文化;大发展大繁荣;时代意义,中共广东省委党校哲学教研部 主任 教授
邬晓燕;纪磊;,科学乌托邦主义的历史合理性解读,科学技术与辩证法,2008,2,15-19+111,科学乌托邦主义;历史合理性;科学,"北京交通大学人文社会科学学院,西安电子科技大学电子工程学院 北京100044,陕西西安710071"
张军;王清明;,用社会主义核心价值体系引领社会思潮的三重路径,理论前沿,2008,8,39-40,社会主义核心价值体系;思想;理论;实践,"中共北京市委党校哲学教研部,湖南祁阳县二中,"
史云贵;,论中国共产党意识形态建构的政治技术与政治艺术,探索,2008,2,29-33,中国共产党;意识形态建构;政治技术;政治艺术,四川大学公共管理学院 四川成都610065
崔世广;,战后日本社会思潮的结构解析,日本研究,2008,1,12月16日,战后日本;社会思潮;结构分析,中国社会科学院日本研究所 中日和会科学院日本研究所教授、博士生导师
丁东宇;,论傅立叶对人的存在理解,学术交流,2008,3,22-25,非理性;情欲存在;个人差异,黑龙江大学 哈尔滨150080
周黎鸿;,积极探索用社会主义核心价值体系引领社会思潮的有效途径,兰州学刊,2008,3,18-20,社会主义核心价值体系;社会思潮;途径,江西宜春学院政法学院 江西宜春336000
闫东;,中国特色社会主义理论的开放性——论党对社会思潮的批判与包容,天府新论,2008,3,1月5日,中国特色社会主义理论;社会思潮;开放性,"北京服装学院社科部,"
石云霞;,用中国特色社会主义理论体系武装全党的基本特点研究,思想理论教育导刊,2008,4,7月10日,中国特色社会主义;理论体系;武装;全党;基本特点,武汉大学政治与公共管理学院 湖北武汉430072
任利伟;,时代、学术和政治——东汉易学发展阶段新探,河北师范大学学报(哲学社会科学版),2008,3,65-69,东汉;易学;时代;学术;政治,北京师范大学历史学院 北京100875
王永芹;王永军;,社会主义核心价值体系与多样化社会思潮辩证关系的思考,河北师范大学学报(哲学社会科学版),2008,3,13-16,社会主义核心价值体系;多样化社会思潮;辩证关系,"邯郸学院,河北工程大学 河北邯郸056006,河北邯郸056005"
郭维平;,三十年来大学生价值观变迁的分析与启示,中国高教研究,2008,5,72-74,大学生;价值观变迁;主要因素;社会主义核心价值体系,"嘉兴学院平湖校区党工委 副书记、副教授,浙江嘉兴314200"
徐海宁;,现代自由主义对人们认识大学学术自由的影响,江苏高教,2008,3,27-28,现代自由主义;学术自由;影响,"南京师范大学国际交流处,"
张劲;,论社会思潮对高校育人环境的影响及优化,学术界,2008,2,195-200,社会思潮;大学生;育人环境;关系,重庆科技学院学工部 重庆400042
刘铁峰;,论元稹诗歌创作的政治内涵,船山学刊,2008,2,173-176,唐诗;元稹;贬谪;政治内涵,湖南人文科技学院 湖南娄底417000
钟添生;,社会主义核心价值体系对社会思潮的导向功能,求实,2008,5,88-90,社会主义核心价值体系;社会思潮;导向功能,宜春学院 江西宜春336000
戴惠;,苏曼殊小说新论,学海,2008,3,179-184,苏曼殊;小说创作;爱情小说;中间物,"中国矿业大学徐海学院,"
徐贵耀;,多元文化思潮下的社会主义核心价值体系的引领功能,湖北社会科学,2008,6,32-34,社会主义;核心价值体系;社会思潮;引领功能,中共盐城市委党校 江苏盐城224001
于淑娟;,中国古代人神共名现象的文化解读——以庆忌、肩吾为例,河南师范大学学报(哲学社会科学版),2008,3,147-151,人神共名;社会思潮;神灵观念,浙江师范大学人文学院 浙江金华321004
邱仁富;,文化共生与和谐文化的建构,兰州学刊,2008,5,171-173,文化共生;和谐文化;主导性文化,上海大学社会科学学院 上海200444
李燕;,当代女权主义的理论与实践:从西方到中国,学习与探索,2008,2,1月5日,女权主义;后女权主义;赛博女权主义;后父权制;中国女性,中国人民大学哲学院 北京100872
胡淳艳;,心路历程——论《西游记》三部续书的传播,明清小说研究,2008,2,111-119,《西游记》;续书;心学;禅学,"北方工业大学文法学院中文系,"
刘根勤;,向死而生:《三国演义》中英雄的生命意识,明清小说研究,2008,2,227-233,经典;英雄;死亡观;哲学,"中山大学中文系,"
武道房;,思想史视野中颜回形象的变迁——以《论语》“屡空”句的阐释史为例,孔子研究,2008,3,105-115,思想史视野;颜回形象;阐释史;变迁,"安徽师范大学文学院,"
徐曙海;,和谐之美与文艺学建设——和谐文化理论给我们的启示,南京社会科学,2008,6,111-116,和谐文化;文艺学;学科建设;马克思主义,南京师范大学文学院 博士生南京210097
郑杭生;,改革开放30年:快速转型中的中国社会——从社会学视角看中国社会的几个显著特点,社会科学研究,2008,4,1月9日,快速转型;中国社会;进步代价的鲜明反差;治理管理难度;自我调适能力,"教育部重点研究基地中国人民大学社会学理论与方法研究中心,"
赵凤玲;,交际舞东渐与近代都市女性的“摩登”生活,江汉论坛,2008,5,120-124,女性;习俗;“摩登”;交际舞,河南农业大学外国语学院 副教授郑州450002
李昌俊;梁秋晨;,坚持用社会主义核心价值体系引领社会思潮,湖北社会科学,2008,7,43-45,社会主义核心价值体系;引领;社会思潮,"第二炮兵指挥学院政治理论教研室,第二炮兵指挥学院政治理论教研室 湖北武汉430012,湖北武汉430012"
吴玲;,西田国家观批判,北方论丛,2008,4,101-104,国家;皇室;世界主义,"哈尔滨师范大学社会与历史学院 黑龙江哈尔滨150080副教授,东北师范大学历史文化学院博士研究生"
王国峡;,和谐视域中的社会主义价值观构建,前沿,2008,6,133-135,和谐社会;内涵结构;价值观冲突;价值观路径,三门峡职业技术学院语言与艺术系 河南三门峡472000
陈立思;李宗浩;,日本动画与日本青少年思想政治教育,国际关系学院学报,2008,4,75-79,日本动画;青少年;思想政治教育,"中国青年政治学院青少年工作系,中国青年政治学院青少年工作系 北京100089,北京100089"
廖奔;,当代戏曲积累的实绩,中国图书评论,2008,6,114-115,当代戏曲;戏曲创作;欣赏趣味;江苏美术出版社;传统戏曲;崭新阶段;戏曲剧本;文化环境;岳阳花鼓戏;张三借靴;,"中国文联书记处,"
梁国伟;候薇;,虚拟现实:表征身体传播无限开放性的符号形式,现代传播(中国传媒大学学报),2008,3,17-21,虚拟现实;人际传播;身体传播;符号,"东北农业大学成栋学院摄影系,哈尔滨工业大学(威海)媒体技术与艺术系 副教授,讲师"
林小燕;,明代后期小说传播对朝廷禁令的突破,中国文学研究,2008,3,63-65,小说传播;谶纬;人欲;违禁,浙江旅游职业学院;
赵庆庆;,加拿大候补戏剧运动经典的化历史,历史教学(高校版),2008,7,35-39,加拿大候补戏剧运动;集体创作戏仿;艺穗节;经典化,南京大学加拿大研究中心;
王晓升;,强化马克思主义在社会主义意识形态中主导地位的几个策略问题,毛泽东邓小平理论研究,2008,6,40-46+85,马克思主义;意识形态的主导地位;意识形态建设策略,中山大学马克思主义与中国现代化研究所哲学系;
叶福林;,中国传统和合思想及其对建设和谐文化的启迪,岭南学刊,2008,4,113-116+128,和合思想;内涵;特征;和谐文化建设,华东师范大学;
袁则文;,新自由主义与市民社会发展,国际观察,2008,4,39-44,新自由主义;市民社会;发展,华东师范大学图书馆;
罗成翼;,论社会主义核心价值体系融入价值观教育,求索,2008,7,64-66,社会主义核心价值体系;价值观教育;内涵,南华大学;
张焱;赵丹;,网络语言——语言变化的新思潮,社会科学辑刊,2008,4,202-204,网络;语言;发展;存在;变化,吉林大学公共外语教育学院;吉林大学公共外语教育学院;
郭建勋;仲瑶;,汉魏六朝诗歌中的美人意象与政治托寓,湖南大学学报(社会科学版),2008,4,79-84,香草美人传统;象喻性;世俗化,湖南大学文学院;
侯迎华;,试论两汉公文文风的演变及其原因,河南师范大学学报(哲学社会科学版),2008,4,163-166,两汉公文;文风;尚俭;鸿文;冗文,河南师范大学文学院;
姚润皋;,社会主义核心价值体系的特点与建设路径,高校理论战线,2008,7,15-17,社会主义核心价值体系;建设,南京大学党委宣传部;
贾玉树;陈北宁;,在科学主义与历史主义之间——论科学史编史纲领的理论思维空间,自然辩证法研究,2008,8,98-104,科学史学;科学主义;历史主义;科学观;历史观;理论思维,军械工程学院科学技术与人文研究所;军械工程学院学报编辑部;
高峰;,美国实用主义思想产生的历史条件——威廉·詹姆斯实用主义思想成因,历史教学(高校版),2008,8,68-71,镀金时代;实用主义思想;威廉·詹姆斯,东北师范大学历史文化学院;
谢越;,理论宣讲:引领社会思潮的有效手段,求是,2008,17,51-52,理论宣讲;思想工作;视频媒体;交流形式;文化传播方式;心灵共鸣;宣讲者;理论宣传工作;政治纪律;传播思想;,中共四川省委讲师团;
杨艳春;,社会主义核心价值体系引领思想政治教育创新的人本理路,南京政治学院学报,2008,4,94-96,核心价值体系;思想政治教育;人学思想;人本理路,南昌工程学院人文社科系;
张帆;,论农村法治建设对农村市民社会的诉求,理论与改革,2008,4,138-141,市民社会;农村市民社会;农村法治建设,贵州民族学院法学院;
青维富;,解读政治现代化——一种文化社会学的分析,理论与现代化,2008,5,14-17+54,政治文化;政治现代化;文化社会学;公民文化,西南政法大学行政法学院;
张先亮;高静文;吴琼;,坚持和巩固马克思主义在意识形态领域的指导地位,新疆大学学报(哲学人文社会科学版),2008,4,14-17,马克思主义;意识形态;指导地位,新疆大学党委;新疆大学政治与公共管理学院;
廖胜刚;秦在东;,坚持用社会主义核心价值体系引领社会思潮的战略思考,广西社会科学,2008,8,10月13日,社会主义核心价值体系;合法性;社会思潮;战略思考;话语权,华中师范大学政法学院;
朱士群;,当代中国社会思潮：回应与引领,安徽师范大学学报(人文社会科学版),2008,4,390-394,社会思潮;马克思主义理论;社会主义核心价值体系;引领能力,安徽师范大学马克思主义研究中心;
徐崇温;,国外马克思主义研究要加强全面性、主体性,中国图书评论,2008,8,4月6日,国外马克思主义;主体性;马克思诞辰;理论智慧;思想潮流;经济全球化;中央编译局;理论概括;斑斓多彩;生态环境保护;,中国社会科学院荣誉学部;
李艳茹;,龙马考,内蒙古大学学报(哲学社会科学版),2008,5,105-109,龙;龙马;龙马文化,内蒙古大学文学与新闻传播学院;
夏岩;刘国朝;,论英国社会思潮的变化对文学发展的影响,首都师范大学学报(社会科学版),2008,S2,62-66,意识形态;辩证关系;文学流派;思潮,北京建筑工程学院文法学院;
巴文泽;,浅析进化论在中国传播的内部机制,社会科学战线,2008,8,241-243,进化论;变易;内部机制,中国人民大学哲学院;
方爱东;,关于“以社会主义核心价值体系引领社会思潮”的两点思考,思想教育研究,2008,9,16-19,社会主义核心价值体系;社会思潮;引领,安徽大学政治学系;
李毅;刘凤兰;,以社会主义核心价值体系引领社会思潮的若干思考,思想理论教育,2008,13,4月8日,社会主义意识形态;社会主义核心价值体系;吸引力;凝聚力,南开大学马克思主义教育学院;
黄钊;,论国学之“源”与“流”,湖北社会科学,2008,10,105-109,国学;源;流;儒家;道家;佛教;社会思潮,武汉大学政治与公共管理学院;
程军;,简论巴赫金的读者理论,湖北社会科学,2008,10,136-138,巴赫金;对话;读者理论,南京大学中文系;
叶福林;,以社会主义核心价值体系引领社会思潮的几点思考,广西社会科学,2008,9,5月8日,社会主义核心价值体系;社会思潮;意识形态;和谐社会;执政能力,华东师范大学;
黄海;,宋南渡时期的词学思想,江汉论坛,2008,9,113-116,宋南渡时期;诗化;合乐;复雅,复旦大学中文系;
丁淑琴;,论别尔嘉耶夫的民族文化观,科学经济社会,2008,3,38-42,别尔嘉耶夫;民族性;俄罗斯文化,兰州大学外国语学院;
王树生;,全球化进程中的文化认同与传统复兴,黑龙江社会科学,2008,5,170-174,全球化;传统;现代性;文化认同,北京大学社会学系;
王引萍;,近代小说中中国女豪杰形象产生原因探析,宁夏社会科学,2008,5,165-167,近代小说;中国女豪杰;原因,北方民族大学文史学院;
寇宝银;刘爱莲;,坚持以社会主义核心价值体系引领社会思潮,兰州学刊,2008,9,22-24,社会主义;核心价值;引领;社会思潮,河海大学公共管理学院;
杨金华;,历史进步的多元视域及其当代意蕴,华中科技大学学报(社会科学版),2008,5,1月6日,理性主义;历史进步;现代化运动;生存困境,华中科技大学马克思主义学院;
章凤红;,社会主义核心价值体系引领多样化社会思潮的思考,思想理论教育导刊,2008,9,64-66,社会主义核心价值体系;社会思潮;引领;思考,贵州师范大学马列部;
张全景;,评《用马克思主义引领社会思潮》,思想理论教育导刊,2008,10,88-89,国家新闻出版署;近期出版;讲道理;政治理论课;理论学科;理论与实践;一本;理论视野;巴枯宁主义;拉萨尔主义;,中共中央组织部;
林毅夫;,发展与转型:思潮、战略和自生能力,北京交通大学学报(社会科学版),2008,4,1月3日,发展;转型;社会思潮;自生能力;比较优势,世界银行;
刘智跃;,论精神分析学说的性欲观念及其在新时期小说中的审美表现,中国文学研究,2008,4,106-110,精神分析;性欲;生命;文学,湖南第一师范学院;
本刊记者;,改革开放30年来马克思主义理论学科建设的回顾与思考——访武汉大学政治与公共管理学院教授梅荣政,马克思主义研究,2008,10,13-20,理论学科;社会主义思想史;政治理论课;研究中心;邓小平理论;博士生教育;思想政治教育;大学政治;兼职教授;博士学位点;,
沈卫星;,挑战社会主义核心价值体系的主要社会思潮,中国青年研究,2008,11,72-75,社会主义核心价值体系;社会思潮;挑战,上海大学社会科学院;
杨军;,党应对社会思潮的历史经验,毛泽东邓小平理论研究,2008,10,40-42,执政理论;意识形态工作;精神文明建设;思想领域;意识形态领域;执政规律;对外文化交流;思想理论基础;价值观多元化;腐朽思想;,武汉大学政治与公共管理学院;
梅荣政;,用社会主义核心价值体系引领社会思潮的政策探索,毛泽东邓小平理论研究,2008,10,43-45,多样化社会;方针政策;现代化建设;意识形态领域;六大以来;宣传阵地;人民群众;规律性认识;历史进程;资产阶级自由化;,武汉大学政治与公共管理学院;
王永芹;,当代中国多样化社会思潮发展态势与引领机制探析,河北学刊,2008,6,132-134,社会主义核心价值体系;社会思潮;引领;机制,邯郸学院;
尧德武;,以价值评价的眼光审视社会主义核心价值对社会思潮的引领,前沿,2008,11,39-41,社会思潮;社会主义核心价值;价值评价;引领,上海大学社会科学学院;
本刊编辑部;,坚持马克思主义理论为指导 以社会主义核心价值体系引领社会思潮,思想理论教育导刊,2008,11,1,马克思主义理论;流行话语;党员干部;郝立新;意识形态领域;章教授;当前理论界;长篇论文;政治学研究;十七大报告;,
高瑞泉;,思潮研究百年反思：历史、理论与方法,华东师范大学学报(哲学社会科学版),2008,5,1月7日,思潮;社会思潮;通观;现代化;现代性,华东师范大学中国现代思想文化研究所;
李维武;,社会思潮史研究与哲学史研究关系简论,华东师范大学学报(哲学社会科学版),2008,5,12月16日,社会思潮史研究;哲学史研究;思想史研究,武汉大学哲学学院;
崔宜明;,自由主义与20世纪中国社会思潮研究,华东师范大学学报(哲学社会科学版),2008,5,17-20,三分模式;自由;自由主义;20世纪中国社会思潮,上海师范大学中国传统思想研究所/哲学系;
陈新汉;,马克思意识形态思想对理解社会主义核心价值体系的启示,上海大学学报(社会科学版),2008,6,13-19,意识形态;社会主义核心价值体系;社会制度;方法论启示,上海大学社会科学学院;
许勇强;,《西游记》在清代的文本传播,社会科学家,2008,10,142-145+149,文本传播;传播环境;传播机制和效果;传播特征,四川大学文学与新闻学院;
郭凤志;,加强中国特色社会主义信念教育应把握的几个问题,思想理论教育导刊,2008,11,98-100,中国特色社会主义;信念;教育,东北师范大学马克思主义研究院;
陈伟军;,改革开放以来的图书出版与文化思潮,中国出版,2008,10,25-28,图书出版;文化工业;著作出版;学术名著;三联书店;易中天品三国;金庸小说;阅读心理;思想解放;媒体联动;,暨南大学新闻与传播学院;
邬晓燕;,浅论科学乌托邦主义的形成条件,北京交通大学学报(社会科学版),2009,1,89-93,科学乌托邦主义;科学;乌托邦;理性,北京交通大学人文社会科学学院;
李益顺;,社会转型视阈下的戊戌维新思想文化研究述评——纪念戊戌维新运动一百一十周年,历史教学(高校版),2009,1,87-89,戊戌维新;社会思潮;现代化;社会转型;问题,湘潭大学哲学与历史文化学院;
左玉河;,30年来的中国近代思想文化史研究,安徽史学,2009,1,112-124+59,中国;近代思想史;近代文化史;社会文化史,中国社会科学院近代史所;
何水;,哈耶克福利国家危机观评析,武汉大学学报(哲学社会科学版),2009,1,112-117,哈耶克;福利国家;内在危机,郑州大学公共管理学院;
周莹;,试论唐代汉族服饰的多民族性,中央民族大学学报(哲学社会科学版),2009,1,135-139,唐代;汉族服饰;多民族性,中央民族大学美术学院;
李孟一;,我国高校以社会主义核心价值体系引领社会思潮的重要性和必要性,湖北社会科学,2009,1,176-178,社会主义核心价值体系;社会思潮;重要性;必要性,武汉大学政治与公共管理学院;
郭皓政;,明代状元与文学,长江学术,2009,1,55,诗文创作;明代政治;台阁体;整体考察;焦竑;明中期;创作个性;整体走向;历史时段;创作领域;,武汉大学文学院;
高艳萍;杨红林;,北洋时期公众舆论的勃兴与影响,中国社会科学院研究生院学报,2009,1,107-112,北洋时期;市民社会;公众舆论;报刊,廊坊师范学院社会发展学院;中国国家博物馆;
徐巍;,剧本化倾向、影像化诉求和电影化技巧——当代小说叙事的新视角,社会科学,2009,3,179-186+192,小说叙事;视觉文化;剧本化;影像化;电影化,上海财经大学国际文化交流学院;
陈丽华;,当前社会思潮与舆论引导,社会科学家,2009,1,100-103,主流思想舆论;社会思潮;舆论引导;社会主义核心价值体系,中共桂林市委;
朱立立;刘小新;,近20年来台湾地区“本土论”思潮的形成与演变,烟台大学学报(哲学社会科学版),2009,1,37-43,思潮;本土论;知识界;“台湾文学论”;话语霸权,福建师范大学文学院;福建社会科学院文学所;
本刊编辑部;,澄清理论是非 自觉抵制错误思潮,思想理论教育导刊,2009,3,1,意识形态领域;政治学研究;西方敌对势力;中国社会科学院;经济全球化;制造舆论;思潮研究;人的社会性;指导思想;钟哲明;,
靳淑梅;,多元文化主义的困境及对教育的启示,教育评论,2009,1,149-152,多元文化主义;弱势群体;教育,东北师范大学国际与比较教育研究所;延边大学师范学院;
曾亦;陈雯雯;,刘逢禄论《左氏》之得失与晚清今古学之争,复旦学报(社会科学版),2009,1,80-91,经学;春秋;左传;公羊传;刘逢禄,复旦大学社会学系;
陆信礼;张世保;,直面当前“国学热”中的几个问题,高校理论战线,2009,2,62-64,社会主义核心价值体系;“国学热”,山东大学哲学与社会发展学院;中南民族大学民族学与社会学学院;
李先军;,教育无用论探析——从科顿姆的教育功能观说起,现代大学教育,2009,1,19-23,科顿姆;教育无用论;教育无用性;教育功能,华东师范大学教育科学学院教育学系;
李育红;,一种独特的马克思主义文学理论——评陆贵山《文艺理论与文艺思潮》,中国图书评论,2009,3,127-128,文艺理论;陆贵山;文艺思潮;文学理论;文艺观念;近现代社会;哲学思潮;宏观研究;文学系统;作者中心论;,渤海大学;
丰子义;,民族精神研究的若干问题,北京行政学院学报,2009,2,30-35,民族精神;中华民族精神;新自由主义;民族主义;文化相对主义;后现代主义,北京大学哲学系;
罗爱玲;,近现代国际体系与恐怖主义:现代性的视角,社会科学,2009,4,17-25+187,近现代国际体系;恐怖主义;现代性;社会思潮,上海社会科学院东欧中西亚研究所;
,学术扫描,思想理论教育,2009,3,94-95,政治理论课;理论学科;政治教育学科;政治问题;实践维度;理论教育;创新精神;精神自我;教学任务;应取;,
张小川;,“普世价值”论与“全人类的利益高于一切”论比较,思想理论教育,2009,7,54-58,普世价值;全人类的利益;马克思主义;社会主义意识形态,清华大学马克思主义学院;
张金霞;,民主社会主义的嬗变及其现实遭遇,云南社会科学,2009,2,35-39,民主社会主义;社会民主主义;马克思主义,中国计量学院人文学院;中国人民大学马克思主义学院;
陈运普;范颖;,论用当代中国马克思主义大众化引领多种社会思潮,湖北社会科学,2009,2,11月13日,马克思主义大众化;社会主义核心价值体系;社会思潮,武汉大学政治与公共管理学院;
付钦太;,大众传媒如何有效引领社会思潮,中州学刊,2009,2,252-254,大众传媒;党性原则;创新方式;强化管理,中共河南省委党校学习论坛编辑部;
袁宙飞;,清代民间木版年画女性人物图像的历史变迁,装饰,2009,5,92-93,清代;木版年画;女性人物;图像;变迁,重庆师范大学美术学院;
李溢;,对“国家形象论”引入文艺批评后的理论思考,文艺争鸣,2009,5,42-45,自我确证;文艺创作;国际交往;历史精神;中国改革;《文艺报》;艺术成就;题材决定论;国民劣根性;政治批判;,海南大学人文传播学院;
田心铭;,为什么必须坚持马克思主义的指导地位,马克思主义研究,2009,3,46-51,马克思主义;社会思潮;中国特色社会主义理论体系,教育部高等学校社会科学发展研究中心;《高校理论战线》;
洪克强;李春才;刘军;,现代性批判语境中的西方社会思潮与我们应取的态度,求实,2009,5,72-74,西方社会思潮;现代性;解构;重建;反思;超越,韶关学院;
徐国民;李慧星;,关于“推动当代中国马克思主义大众化”若干问题的思考,求实,2009,5,13-16,当代中国马克思主义;大众化;问题,华东理工大学;四川建筑职业技术学院;
王盛开;,民国时期三种社会思潮下民主化运动的特点,武汉理工大学学报(社会科学版),2009,2,26-31,民国时期;社会思潮;民主化运动;特点,武汉理工大学政治与行政学院;
钟君;郑承军;,社会主义意识形态“污名化”现象剖析,郑州大学学报(哲学社会科学版),2009,3,28-31,社会主义;意识形态;污名化,中国社会科学院马克思主义研究院;北京语言大学;
李英顺;,朝鲜北学派实学思想与诸实学流派的关系,东疆学刊,2009,2,13-20,北学派;实学思想;近代指向,延边大学师范学院;
周尚文;,意识形态堤坝的崩溃与苏联解体,华东师范大学学报(哲学社会科学版),2009,2,46-53+65,意识形态;苏共;僵化与教条化,华东师范大学政治学系暨俄罗斯研究中心;
丁功谊;,万历年间社会思潮的转向,江西社会科学,2009,4,152-156,社会思潮;万历;心学;禅学;经世精神,井冈山大学人文学院;
李时人;,关于古代小说研究的一点思考,北方论丛,2009,3,24-27,古代小说;研究理论;研究实践,上海师范大学人文学院;
陈力祥;,儒家传承核心价值观之经验与教训,道德与文明,2009,2,32-36,社会主义核心价值体系;社会思潮;儒家;核心价值观,中南大学哲学系;
苟波;,明清小说视野中的社会思潮与道教伦理,宗教学研究,2009,2,47-55,道教伦理;社会思潮;明清小说,四川大学985工程宗教与社会研究创新基地;四川大学道教与宗教文化研究所;
李光伟;郭大松;,民国女道德社暨世界妇女红卍字会史事考,民国档案,2009,2,74-83,女道德社;道院;世界妇女红卍字会,中国人民大学清史研究所;山东师范大学历史文化与社会发展学院;
苏雪芹;,从“两个必然”和“两个决不会”论断看民主社会主义,马克思主义研究,2009,4,52-59,“两个必然”;“两个决不会”;民主社会主义,青海民族学院社会发展学院;
盛秀英;,用社会主义核心价值体系引领社会思潮途径探析,理论探讨,2009,3,61-64,社会主义核心价值体系;社会思潮;引领途径,中共黑龙江省委党校哲学教研部;
刘卓芳;,突出互动:社会主义核心价值体系构建的路径选择,求实,2009,6,28-30,核心价值观;体系构建;路径选择,河南广播电视大学;
卢盛江;,中国文学思想史学科体系的规划者——罗宗强先生的学术思想,社会科学战线,2009,4,236-241,文学思想;士人心态;历史还原;理论思辨;文学本位;审美把握,南开大学文学院;
侯惠勤;,论马克思主义的指导地位,河南大学学报(社会科学版),2009,3,1月4日,意识形态建设;多样化社会;国家哲学;思潮研究;改革开放实践;指导思想;经验概括;消灭阶级;历史主体;国家意识形态;,中国社会科学院马克思主义研究院;
吕世荣;谭培文;,“利益”研究是我国意识形态建设的基础,河南大学学报(社会科学版),2009,3,4月6日,意识形态建设;多样化社会;意识形态问题;国家哲学;思潮研究;人民群众;一元主导;思想观念;现代化建设;党的基本路线;,河南大学人文社科中心;广西师范大学政治与行政学院;
周宏;,社会主义核心价值体系的理论意义,河南大学学报(社会科学版),2009,3,7月9日,意识形态建设;多样化社会;政治原则;国家哲学;价值要素;思潮研究;现代化建设;时代精神;社会利益关系;中国特色;,河南大学人文社科中心;
姜迎春;,论中国特色社会主义的理想性,河南大学学报(社会科学版),2009,3,9月11日,理想性;意识形态建设;多样化社会;当代中国共产党;国家哲学;思潮研究;历史过程;社会主要矛盾;辩证统一;社会物质财富;,南京大学哲学系;
黄明理;,辩证维度中的马克思主义信仰,河南大学学报(社会科学版),2009,3,11月14日,马克思主义信仰;意识形态建设;多样化社会;国家哲学;思潮研究;官能主义;未来社会;主体需要;选择能力;主体性;,河海大学哲学系;
戈士国;,社会主义核心价值体系的架构分析,河南大学学报(社会科学版),2009,3,14-16,意识形态建设;多样化社会;架构分析;国家哲学;思潮研究;历史主体;社会要素;精神文明建设;十七大报告;市民社会;,河南大学人文社科中心;
梁亚敏;梅荣政;,试论社会主义核心价值体系的引领作用,求索,2009,5,99-101,社会主义核心价值体系;认同;引领;共识,四川大学政治学院;武汉大学政治与公共管理学院;
潘宁;丁丽丽;,关于增强社会主义意识形态吸引力和凝聚力的若干思考,广西社会科学,2009,5,1月5日,社会主义意识形态;马克思主义;社会主义核心价值体系;吸引力;凝聚力,上海师范大学法政学院;
王先俊;,论“五四”后的社会改造思潮,安徽师范大学学报(人文社会科学版),2009,2,125-132,五四;社会改造;思潮,安徽师范大学马克思主义研究中心;
张博颖;,试论在吸纳中引领社会思潮,湖南师范大学社会科学学报,2009,3,19-21,吸纳;引领;文化思潮,天津社会科学院马克思主义研究所;
胡滨;卢宏;,一项光荣而艰巨的历史任务——论新闻媒体弘扬社会主义核心价值体系的重大责任,中国广播电视学刊,2009,5,40-41,后现代主义思潮;方毅华;道德失范;传统文化教育;信仰教育;人民日报社;宣传报道;现代传播;毒奶粉事件;正确引导舆论;,青岛市广播电视局;
徐旭初;吴彬;,新情势下合作社会主义何以持续?,社会主义研究,2009,2,33-37,合作社;合作社会主义;益贫性,杭州电子科技大学人文学院;浙江大学管理学院;天津师范大学政治与行政学院;
夏晓虹;,秋瑾文学形象的时代风貌——从夏衍的话剧到谢晋的电影,中国现代文学研究丛刊,2009,4,49-65,夏衍;《秋瑾传》;家庭革命;政治革命;人性,北京大学中文系;
王国敏;周玉;,社会主义核心价值体系引领社会思潮的三维理路,社会科学研究,2009,4,65-69,社会主义核心价值体系;社会思潮;三维理路,四川大学政治学院;成都医学院人文信息管理学院;
陈力祥;,儒家核心价值观对封建社会思潮的有效引领之策略探析,天府新论,2009,4,20-24,儒家核心价值;社会主义核心价值;社会思潮的有效引领;儒家传承核心价值之策略,中南大学哲学系;
